NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;POP_MEN;POP_WOMEN;POP_TOTAL;REF_DATE
AT2;AT22;AT225;610;Leibnitz;61058;Straß in Steiermark;2446;2412;4858;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61059;Wildon ;2595;2717;5312;01.01.2017
AT2;AT22;AT223;611;Leoben;61101;Eisenerz ;1977;2211;4188;01.01.2017
AT2;AT22;AT223;611;Leoben;61105;Kalwang ;458;536;994;01.01.2017
AT2;AT22;AT223;611;Leoben;61106;Kammern im Liesingtal ;799;819;1618;01.01.2017
AT2;AT22;AT223;611;Leoben;61107;Kraubath an der Mur ;631;646;1277;01.01.2017
AT2;AT22;AT223;611;Leoben;61108;Leoben ;12520;12395;24915;01.01.2017
AT2;AT22;AT223;611;Leoben;61109;Mautern in Steiermark ;900;911;1811;01.01.2017
AT2;AT22;AT223;611;Leoben;61110;Niklasdorf ;1232;1309;2541;01.01.2017
AT2;AT22;AT223;611;Leoben;61111;Proleb ;751;780;1531;01.01.2017
AT2;AT22;AT223;611;Leoben;61112;Radmer ;290;281;571;01.01.2017
AT2;AT22;AT223;611;Leoben;61113;Sankt Michael in Obersteiermark ;1512;1562;3074;01.01.2017
AT2;AT22;AT223;611;Leoben;61114;Sankt Peter-Freienstein ;1171;1194;2365;01.01.2017
AT2;AT22;AT223;611;Leoben;61115;Sankt Stefan ob Leoben ;934;983;1917;01.01.2017
AT2;AT22;AT223;611;Leoben;61116;Traboch ;673;710;1383;01.01.2017
AT2;AT22;AT223;611;Leoben;61118;Vordernberg ;525;505;1030;01.01.2017
AT2;AT22;AT223;611;Leoben;61119;Wald am Schoberpaß ;288;297;585;01.01.2017
AT2;AT22;AT223;611;Leoben;61120;Trofaiach ;5396;5747;11143;01.01.2017
AT2;AT22;AT222;612;Liezen;61203;Aigen im Ennstal ;1356;1347;2703;01.01.2017
AT2;AT22;AT222;612;Liezen;61204;Altaussee ;933;946;1879;01.01.2017
AT2;AT22;AT222;612;Liezen;61205;Altenmarkt bei Sankt Gallen ;398;430;828;01.01.2017
AT2;AT22;AT222;612;Liezen;61206;Ardning ;607;620;1227;01.01.2017
AT2;AT22;AT222;612;Liezen;61207;Bad Aussee ;2285;2513;4798;01.01.2017
AT2;AT22;AT222;612;Liezen;61213;Gröbming ;1389;1506;2895;01.01.2017
AT2;AT22;AT222;612;Liezen;61215;Grundlsee ;569;629;1198;01.01.2017
AT2;AT22;AT222;612;Liezen;61217;Haus ;1229;1237;2466;01.01.2017
AT2;AT22;AT222;612;Liezen;61222;Lassing ;829;890;1719;01.01.2017
AT2;AT22;AT222;612;Liezen;61236;Ramsau am Dachstein ;1377;1436;2813;01.01.2017
AT2;AT22;AT222;612;Liezen;61243;Selzthal ;826;776;1602;01.01.2017
AT2;AT22;AT222;612;Liezen;61247;Trieben ;1643;1752;3395;01.01.2017
AT2;AT22;AT222;612;Liezen;61251;Wildalpen ;240;228;468;01.01.2017
AT2;AT22;AT222;612;Liezen;61252;Wörschach ;545;566;1111;01.01.2017
AT2;AT22;AT222;612;Liezen;61253;Admont ;2466;2583;5049;01.01.2017
AT2;AT22;AT222;612;Liezen;61254;Aich ;634;666;1300;01.01.2017
AT2;AT22;AT222;612;Liezen;61255;Bad Mitterndorf ;2439;2494;4933;01.01.2017
AT2;AT22;AT222;612;Liezen;61256;Gaishorn am See ;621;667;1288;01.01.2017
AT2;AT22;AT222;612;Liezen;61257;Irdning-Donnersbachtal ;1975;2132;4107;01.01.2017
AT2;AT22;AT222;612;Liezen;61258;Landl ;1348;1406;2754;01.01.2017
AT2;AT22;AT222;612;Liezen;61259;Liezen ;3972;4209;8181;01.01.2017
AT2;AT22;AT222;612;Liezen;61260;Michaelerberg-Pruggern  ;590;584;1174;01.01.2017
AT2;AT22;AT222;612;Liezen;61261;Mitterberg-Sankt Martin;975;949;1924;01.01.2017
AT2;AT22;AT222;612;Liezen;61262;Öblarn ;1010;1005;2015;01.01.2017
AT2;AT22;AT222;612;Liezen;61263;Rottenmann ;2590;2660;5250;01.01.2017
AT2;AT22;AT222;612;Liezen;61264;Sankt Gallen ;922;924;1846;01.01.2017
AT2;AT22;AT222;612;Liezen;61265;Schladming ;3253;3462;6715;01.01.2017
AT2;AT22;AT222;612;Liezen;61266;Sölk ;782;735;1517;01.01.2017
AT2;AT22;AT222;612;Liezen;61267;Stainach-Pürgg ;1369;1487;2856;01.01.2017
AT2;AT22;AT226;614;Murau;61410;Mühlen ;449;420;869;01.01.2017
AT2;AT22;AT226;614;Murau;61413;Niederwölz ;289;306;595;01.01.2017
AT2;AT22;AT226;614;Murau;61425;Sankt Peter am Kammersberg ;1038;1031;2069;01.01.2017
AT2;AT22;AT226;614;Murau;61428;Schöder ;474;497;971;01.01.2017
AT2;AT22;AT226;614;Murau;61437;Krakau;745;699;1444;01.01.2017
AT2;AT22;AT226;614;Murau;61438;Murau ;1683;1950;3633;01.01.2017
AT2;AT22;AT226;614;Murau;61439;Neumarkt in der Steiermark ;2499;2527;5026;01.01.2017
AT2;AT22;AT226;614;Murau;61440;Oberwölz ;1498;1482;2980;01.01.2017
AT2;AT22;AT226;614;Murau;61441;Ranten ;599;569;1168;01.01.2017
AT2;AT22;AT226;614;Murau;61442;Sankt Georgen am Kreischberg;892;902;1794;01.01.2017
