NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_CODE;LAU_CODE;LAU_NAME;POP_2015;POP_2020;POP_2025;POP_2030
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62148;Tragöß-Sankt Katharein;1921;1808;1716;1640
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62202;Bad Blumau;1592;1580;1553;1533
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62205;Buch-St. Magdalena;2166;2164;2158;2143
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62206;Burgau;1064;1081;1069;1059
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62209;Ebersdorf;1244;1239;1241;1235
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62211;Friedberg;2568;2574;2570;2567
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62214;Greinbach;1802;1774;1752;1728
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62216;Großsteinbach;1297;1236;1191;1163
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62219;Hartberg;6527;6481;6475;6450
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62220;Hartberg Umgebung;2215;2275;2277;2271
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62226;Lafnitz;1437;1434;1417;1397
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62232;Ottendorf an der Rittschein;1537;1544;1557;1575
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62233;Pinggau;3196;3224;3260;3270
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62235;Pöllauberg;2115;2066;2023;1984
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62242;Sankt Jakob im Walde;1065;1021;986;957
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62244;Sankt Johann in der Haide;2119;2160;2218;2254
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62245;Sankt Lorenzen am Wechsel;1529;1446;1381;1324
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62247;Schäffern;1437;1368;1370;1378
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62252;Söchau;1423;1414;1414;1411
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62256;Stubenberg;2288;2292;2289;2270
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62262;Wenigzell;1435;1401;1379;1355
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62264;Bad Waltersdorf;3706;3768;3799;3812
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62265;Dechantskirchen;2033;1964;1908;1859
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62266;Feistritztal;2407;2384;2352;2324
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62267;Fürstenfeld;8408;8474;8569;8619
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62268;Grafendorf bei Hartberg;3152;3088;3031;2971
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62269;Großwilfersdorf;2032;1936;1884;1847
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62270;Hartl;2106;2102;2083;2067
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62271;Ilz;3705;3595;3521;3452
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62272;Kaindorf;2853;2917;2980;3022
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62273;Loipersdorf bei Fürstenfeld;1880;1910;1899;1881
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62274;Neudau;1467;1431;1413;1397
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62275;Pöllau;6050;5885;5730;5593
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62276;Rohr bei Hartberg;1463;1456;1422;1393
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62277;Rohrbach an der Lafnitz;2676;2609;2535;2469
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62278;Vorau;4824;4736;4634;4536
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62279;Waldbach-Mönichwald;1546;1442;1359;1290
