NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;POP_0_14;POP_15_29;POP_30_44;POP_45_59;POP_60_74;POP_75;POP_TOTAL;REF_DATE
AT2;AT22;AT225;610;Leibnitz;61051;Gleinstätten ;378;525;576;715;415;254;2863;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61052;Heiligenkreuz am Waasen ;397;478;516;745;390;241;2767;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61053;Leibnitz ;1519;2262;2383;3021;1951;1040;12176;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61054;Leutschach an der Weinstraße ;544;634;711;901;562;383;3735;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61055;Sankt Georgen an der Stiefing ;225;217;282;389;241;146;1500;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61056;Sankt Veit in der Südsteiermark;571;637;750;1041;656;384;4039;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61057;Schwarzautal ;298;366;440;601;374;244;2323;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61058;Straß in Steiermark;727;809;1011;1198;716;397;4858;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61059;Wildon ;715;898;1099;1282;825;493;5312;01.01.2017
AT2;AT22;AT223;611;Leoben;61101;Eisenerz ;335;403;513;1005;1015;917;4188;01.01.2017
AT2;AT22;AT223;611;Leoben;61105;Kalwang ;120;138;152;262;188;134;994;01.01.2017
AT2;AT22;AT223;611;Leoben;61106;Kammern im Liesingtal ;225;234;292;412;252;203;1618;01.01.2017
AT2;AT22;AT223;611;Leoben;61107;Kraubath an der Mur ;151;179;236;341;219;151;1277;01.01.2017
AT2;AT22;AT223;611;Leoben;61108;Leoben ;2701;5335;4331;5416;4195;2937;24915;01.01.2017
AT2;AT22;AT223;611;Leoben;61109;Mautern in Steiermark ;209;304;277;456;310;255;1811;01.01.2017
AT2;AT22;AT223;611;Leoben;61110;Niklasdorf ;293;438;423;611;461;315;2541;01.01.2017
AT2;AT22;AT223;611;Leoben;61111;Proleb ;173;186;275;381;332;184;1531;01.01.2017
AT2;AT22;AT223;611;Leoben;61112;Radmer ;42;70;75;160;117;107;571;01.01.2017
AT2;AT22;AT223;611;Leoben;61113;Sankt Michael in Obersteiermark ;372;502;583;742;519;356;3074;01.01.2017
AT2;AT22;AT223;611;Leoben;61114;Sankt Peter-Freienstein ;308;333;428;581;392;323;2365;01.01.2017
AT2;AT22;AT223;611;Leoben;61115;Sankt Stefan ob Leoben ;240;269;339;462;360;247;1917;01.01.2017
AT2;AT22;AT223;611;Leoben;61116;Traboch ;180;192;257;363;250;141;1383;01.01.2017
AT2;AT22;AT223;611;Leoben;61118;Vordernberg ;94;147;148;268;197;176;1030;01.01.2017
AT2;AT22;AT223;611;Leoben;61119;Wald am Schoberpaß ;75;81;97;146;100;86;585;01.01.2017
AT2;AT22;AT223;611;Leoben;61120;Trofaiach ;1318;1595;1863;2643;2185;1539;11143;01.01.2017
AT2;AT22;AT222;612;Liezen;61203;Aigen im Ennstal ;400;443;532;613;451;264;2703;01.01.2017
AT2;AT22;AT222;612;Liezen;61204;Altaussee ;211;241;325;434;390;278;1879;01.01.2017
AT2;AT22;AT222;612;Liezen;61205;Altenmarkt bei Sankt Gallen ;107;113;141;210;141;116;828;01.01.2017
AT2;AT22;AT222;612;Liezen;61206;Ardning ;156;174;228;316;221;132;1227;01.01.2017
AT2;AT22;AT222;612;Liezen;61207;Bad Aussee ;545;697;807;1132;970;647;4798;01.01.2017
AT2;AT22;AT222;612;Liezen;61213;Gröbming ;416;507;621;622;460;269;2895;01.01.2017
AT2;AT22;AT222;612;Liezen;61215;Grundlsee ;139;149;218;293;226;173;1198;01.01.2017
AT2;AT22;AT222;612;Liezen;61217;Haus ;357;432;462;580;391;244;2466;01.01.2017
AT2;AT22;AT222;612;Liezen;61222;Lassing ;220;300;297;376;306;220;1719;01.01.2017
AT2;AT22;AT222;612;Liezen;61236;Ramsau am Dachstein ;447;452;564;645;484;221;2813;01.01.2017
AT2;AT22;AT222;612;Liezen;61243;Selzthal ;185;243;268;447;281;178;1602;01.01.2017
AT2;AT22;AT222;612;Liezen;61247;Trieben ;386;540;559;768;634;508;3395;01.01.2017
AT2;AT22;AT222;612;Liezen;61251;Wildalpen ;50;65;75;110;96;72;468;01.01.2017
AT2;AT22;AT222;612;Liezen;61252;Wörschach ;163;157;209;275;189;118;1111;01.01.2017
AT2;AT22;AT222;612;Liezen;61253;Admont ;673;810;903;1209;861;593;5049;01.01.2017
AT2;AT22;AT222;612;Liezen;61254;Aich ;233;241;248;304;168;106;1300;01.01.2017
AT2;AT22;AT222;612;Liezen;61255;Bad Mitterndorf ;622;763;915;1138;961;534;4933;01.01.2017
AT2;AT22;AT222;612;Liezen;61256;Gaishorn am See ;149;187;219;349;223;161;1288;01.01.2017
AT2;AT22;AT222;612;Liezen;61257;Irdning-Donnersbachtal ;596;712;749;997;636;417;4107;01.01.2017
AT2;AT22;AT222;612;Liezen;61258;Landl ;286;342;421;694;557;454;2754;01.01.2017
AT2;AT22;AT222;612;Liezen;61259;Liezen ;1118;1405;1484;1903;1391;880;8181;01.01.2017
AT2;AT22;AT222;612;Liezen;61260;Michaelerberg-Pruggern  ;190;199;229;276;172;108;1174;01.01.2017
AT2;AT22;AT222;612;Liezen;61261;Mitterberg-Sankt Martin;301;320;375;452;314;162;1924;01.01.2017
AT2;AT22;AT222;612;Liezen;61262;Öblarn ;326;330;407;418;347;187;2015;01.01.2017
AT2;AT22;AT222;612;Liezen;61263;Rottenmann ;654;924;875;1242;920;635;5250;01.01.2017
AT2;AT22;AT222;612;Liezen;61264;Sankt Gallen ;255;298;306;400;314;273;1846;01.01.2017
AT2;AT22;AT222;612;Liezen;61265;Schladming ;940;1142;1261;1612;1080;680;6715;01.01.2017
AT2;AT22;AT222;612;Liezen;61266;Sölk ;226;264;256;366;249;156;1517;01.01.2017
AT2;AT22;AT222;612;Liezen;61267;Stainach-Pürgg ;369;451;493;696;505;342;2856;01.01.2017
AT2;AT22;AT226;614;Murau;61410;Mühlen ;128;141;139;194;161;106;869;01.01.2017
AT2;AT22;AT226;614;Murau;61413;Niederwölz ;100;83;143;109;110;50;595;01.01.2017
AT2;AT22;AT226;614;Murau;61425;Sankt Peter am Kammersberg ;309;345;380;483;326;226;2069;01.01.2017
AT2;AT22;AT226;614;Murau;61428;Schöder ;146;146;171;237;156;115;971;01.01.2017
AT2;AT22;AT226;614;Murau;61437;Krakau;175;262;262;389;214;142;1444;01.01.2017
AT2;AT22;AT226;614;Murau;61438;Murau ;429;515;633;871;680;505;3633;01.01.2017
AT2;AT22;AT226;614;Murau;61439;Neumarkt in der Steiermark ;697;849;837;1212;851;580;5026;01.01.2017
